
::ffff:127.0.0.1 | 2021-08-17T00:26:38.942Z | /css/pizza.css 
::ffff:127.0.0.1 | 2021-08-17T00:26:38.950Z | /img/calabresa.jpg 
::ffff:127.0.0.1 | 2021-08-17T00:26:39.000Z | /img/bg.jpeg 
::ffff:127.0.0.1 | 2021-08-17T00:27:13.315Z | /pizzas/3 
::ffff:127.0.0.1 | 2021-08-17T00:27:13.444Z | /css/styles.css 
::ffff:127.0.0.1 | 2021-08-17T00:27:13.447Z | /css/pizza.css 
::ffff:127.0.0.1 | 2021-08-17T00:27:13.454Z | /img/fracatu.jpg 
::ffff:127.0.0.1 | 2021-08-17T00:27:13.603Z | /img/bg.jpeg 
::ffff:127.0.0.1 | 2021-08-18T22:58:25.773Z | /admin/login 
::ffff:127.0.0.1 | 2021-08-18T22:58:37.959Z | /admin/login 
::ffff:127.0.0.1 | 2021-08-18T23:05:54.617Z | /admin/login 
::ffff:127.0.0.1 | 2021-08-18T23:06:00.247Z | /login 
::ffff:127.0.0.1 | 2021-08-18T23:06:02.416Z | /login 
::ffff:127.0.0.1 | 2021-08-18T23:06:10.305Z | / 
::ffff:127.0.0.1 | 2021-08-18T23:06:10.493Z | /css/styles.css 
::ffff:127.0.0.1 | 2021-08-18T23:06:10.495Z | /css/index.css 
::ffff:127.0.0.1 | 2021-08-18T23:06:10.645Z | /img/img-2qdmbrthks85955e.png 
::ffff:127.0.0.1 | 2021-08-18T23:06:10.647Z | /img/img-2qdmbrtrks859yta.png 
::ffff:127.0.0.1 | 2021-08-18T23:06:10.651Z | /img/fracatu.jpg 
::ffff:127.0.0.1 | 2021-08-18T23:06:10.652Z | /img/img-2qdmb17hyksemxc8f.png 
::ffff:127.0.0.1 | 2021-08-18T23:06:10.653Z | /img/img-2qdmb17izksemym5m.png 
::ffff:127.0.0.1 | 2021-08-18T23:06:10.654Z | /img/pepperoni.jpg 
::ffff:127.0.0.1 | 2021-08-18T23:06:10.655Z | /img/calabresa.jpg 
